NIS2 Article,NIS2 Title,ISO 27001:2022 Clauses,NIST CSF v2.0 Controls,Implementation Guidance
Article 21(2)(a),Risk analysis and information system security policies,A.5.1 (Policies for information security); A.5.8 (Information security in project management); A.8.12 (Data leakage prevention),"GV.OC-01 (The organizational mission is understood and informs cybersecurity risk management); ID.RA-01 (Vulnerabilities in assets are identified, validated, and recorded)",Establish policies and conduct regular risk assessments to identify threats to information assets.
Article 21(2)(b),"Incident handling (prevention, detection, response)",A.5.24 (Information security incident management planning and preparation); A.5.25 (Assessment and decision on information security events); A.5.26 (Response to information security incidents),DE.AE-02 (Potentially adverse events are analyzed to better understand associated activities); RS.MA-01 (The incident response plan is executed in coordination with relevant third parties once an incident is declared),"Set up a dedicated incident response capability, define reporting lines, and establish detection logs."
Article 21(2)(c),Business continuity and crisis management,A.5.29 (Information security during disruption); A.5.30 (ICT readiness for business continuity); A.8.13 (Information backup),RC.RP-01 (Recovery plans are executed during or after an incident); PR.IR-04 (Adequate resource capacity to ensure availability is maintained),"Ensure regular backups, implement disaster recovery sites, and establish a crisis management committee."
Article 21(2)(d),Supply chain security,A.5.19 (Information security in supplier relationships); A.5.20 (Addressing information security within supplier agreements); A.5.21 (Managing information security in the ICT supply chain),"GV.SC-01 (Supply chain risk management program is established); GV.SC-02 (Suppliers are identified, prioritized, and assessed)","Assess supplier risks, enforce security requirements in contracts, and audit critical service providers."
Article 21(2)(e),"Security in network and systems acquisition, development, and maintenance",A.8.25 (Secure development life cycle); A.8.28 (Secure coding); A.8.29 (Security testing in development and acceptance),PR.PS-01 (Secure software development lifecycle is implemented); PR.PS-02 (Hardware/software integrity is verified),"Implement SSDLC, perform vulnerability scanning and penetration testing, and establish vulnerability disclosure policies."
Article 21(2)(f),Policies and procedures to assess risk management effectiveness,"A.5.35 (Independent review of information security); A.5.36 (Compliance with policies, rules and standards for information security)","GV.PO-01 (Policy for managing cybersecurity risks is established based on organizational context, cybersecurity strategy, and priorities and is communicated and enforced); ID.RA-03 (Risk assessments are updated regularly)","Conduct internal security audits, run table-top exercises, and perform management reviews."
Article 21(2)(g),Basic cyber hygiene practices and cybersecurity training,"A.6.3 (Information security awareness, education and training); A.8.1 (User endpoint devices)",PR.AT-01 (Security awareness training is provided to all users); PR.AT-02 (Specialized training is provided to high-risk roles),"Run phishing simulations, conduct onboarding cybersecurity training, and enforce device hardening standards."
Article 21(2)(h),Cryptography and encryption,A.8.24 (Use of cryptography),"PR.DS-01 (The confidentiality, integrity, and availability of data-at-rest are protected); PR.DS-02 (The confidentiality, integrity, and availability of data-in-transit are protected)","Define key management policies, enforce TLS 1.3 for communications, and encrypt corporate storage."
Article 21(2)(i),"Human resources security, access control, and asset management",A.5.9 (Inventory of information and other associated assets); A.5.15 (Access control); A.6.1 (Screening); A.6.2 (Terms and conditions of employment),"PR.AA-01 (Identities and credentials for authorized users, services, and hardware are managed by the organization); PR.AA-02 (Identities are proofed and bound to credentials based on the context of interactions)","Enforce the principle of least privilege, conduct background checks on employees, and maintain an automated asset inventory."
Article 21(2)(j),"Use of MFA, secured voice, video, and emergency communications",A.5.17 (Authentication information); A.8.2 (Privileged access rights); A.5.16 (Identity management),PR.AA-03 (Multi-factor authentication is enforced); RS.CO-04 (Stakeholders are notified of response activities and their roles),"Enforce phishing-resistant MFA, use encrypted enterprise collaboration systems (e.g. Signal, Teams with E2EE), and set up out-of-band communication channels."
